"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\README.md", "Markdown", 0, 7, 0, 9, 16
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\__tank renderer.py", "Python", 144, 0, 6, 31, 181
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\ai.py", "Python", 153, 0, 0, 55, 208
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\ai_math.py", "Python", 211, 0, 12, 40, 263
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\classes.py", "Python", 283, 0, 3, 66, 352
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\loader.py", "Python", 68, 0, 0, 14, 82
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\main.py", "Python", 0, 0, 2, 0, 2
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\settings.py", "Python", 92, 0, 2, 29, 123
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\sound.py", "Python", 88, 0, 0, 23, 111
"c:\Users\Hydra\Google Drive\Python Projects\Python Play Tanks!\tanks.py", "Python", 238, 0, 0, 57, 295
"Total", "-", 1277, 7, 25, 324, 1633